,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
788,Ryan Suter\suterry01,35,MIN,D,69,1076,1084,49.8,0.5,769,824,48.3,-2.2,12.9,87.6,100.5,49.3,50.7,24:38,19:08,19,27,2.9,253,43.9
789,Brandon Sutter\suttebr03,30,VAN,C/RW,44,346,439,44.1,-6.7,269,316,46.0,-5.2,10.3,91.5,101.8,32.0,68.0,14:51,11:36,15,9,-3.6,112,67.9
790,Nick Suzuki\suzukni01,20,MTL,C,71,779,669,53.8,-1.1,565,493,53.4,-0.9,8.8,88.3,97.1,53.2,46.8,15:59,13:23,31,37,0.8,222,62.2
791,Andrei Svechnikov\svechan01,19,CAR,RW,68,871,667,56.6,3.3,651,518,55.7,2.9,13.1,87.0,100.1,55.5,44.5,16:44,13:44,29,66,9.6,320,57.2
792,Evgeny Svechnikov\svechev01,23,DET,LW,4,30,24,55.6,-0.7,25,20,55.6,0.6,0.0,93.8,93.8,46.2,53.8,8:20,7:36,0,3,0.6,10,70.0
793,Jordan Szwarz\szwarjo01,28,OTT,RW,3,7,15,31.8,-14.8,5,5,50.0,2.3,0.0,100.0,100.0,50.0,50.0,4:55,4:55,0,0,-0.1,2,100.0
794,Brandon Tanev\tanevbr01,28,PIT,LW,68,590,582,50.3,-0.7,430,432,49.9,-1.9,8.4,89.9,98.3,38.2,61.8,14:46,12:26,33,37,-2.4,162,59.3
795,Chris Tanev\tanevch01,30,VAN,D,69,777,942,45.2,-4.3,584,672,46.5,-3.5,14.4,88.3,102.8,45.2,54.8,19:32,15:51,20,45,-8.4,98,45.9
796,Vladimir Tarasenko\tarasvl01,28,STL,RW,10,101,95,51.5,2.9,76,69,52.4,3.5,13.8,83.6,97.4,57.5,42.5,16:11,13:43,3,5,-0.5,47,55.3
797,Tomas Tatar\tatarto01,29,MTL,C,68,1031,654,61.2,8.7,759,490,60.8,8.5,11.3,86.3,97.6,53.3,46.7,16:18,13:58,31,29,14.1,264,61.4
798,John Tavares\tavarjo01,29,TOR,C,63,935,812,53.5,1.8,698,635,52.4,1.0,11.9,86.0,97.9,52.8,47.2,19:32,16:26,35,47,2.7,357,55.2
799,Matt Tennyson\tennyma01,29,NJD,D,20,145,190,43.3,-5.2,115,145,44.2,-5.4,21.3,82.9,104.1,55.5,44.5,12:09,12:05,2,8,-1.0,26,53.8
800,Teuvo Teravainen\teravte01,25,CAR,F,68,917,653,58.4,5.6,676,512,56.9,4.5,12.3,88.0,100.3,56.7,43.3,19:12,14:19,44,44,12.0,317,57.4
801,Troy Terry\terrytr01,22,ANA,C/RW,47,441,456,49.2,0.7,343,349,49.6,1.2,7.6,89.4,97.0,56.5,43.5,14:31,12:28,31,19,-0.7,140,52.1
802,Alexandre Texier\texieal01,20,CBJ,C,36,326,312,51.1,1.5,248,217,53.3,1.8,10.2,90.4,100.5,53.3,46.7,12:45,11:55,16,12,0.9,85,57.6
803,Shea Theodore\theodsh01,24,VEG,D,71,1260,904,58.2,5.4,944,696,57.6,4.1,9.2,89.9,99.1,58.8,41.2,22:15,18:56,55,54,20.9,442,49.5
804,Robert Thomas\thomaro01,20,STL,C,66,616,571,51.9,0.9,452,447,50.3,-0.7,12.4,89.3,101.6,56.2,43.8,14:34,12:52,46,30,7.1,146,59.6
805,Nate Thompson\thompna01,35,TOT,C,70,556,608,47.8,-7.2,408,418,49.4,-5.2,7.6,90.3,97.9,38.2,61.8,12:47,10:27,25,33,-0.6,115,58.3
806,Tage Thompson\thompta01,22,BUF,C,1,5,5,50.0,-3.0,3,3,50.0,1.0,0.0,100.0,100.0,66.7,33.3,6:59,6:59,1,0,0.0,2,0.0
807,Joe Thornton\thornjo01,40,SJS,C,70,761,677,52.9,3.5,542,494,52.3,3.2,8.9,85.0,93.9,52.4,47.6,15:30,12:60,55,30,-2.9,125,60.8
808,Calvin Thurkauf\thurkca01,22,CBJ,C,3,13,19,40.6,-7.5,9,14,39.1,-11.1,0.0,100.0,100.0,28.6,71.4,8:15,8:15,0,0,-0.3,3,33.3
809,Chris Tierney\tiernch01,25,OTT,C,71,726,822,46.9,-1.9,531,614,46.4,-2.8,12.7,88.0,100.7,41.9,58.1,17:11,13:45,32,42,-4.7,181,56.4
810,Dmytro Timashov\timasdm01,23,TOT,LW,44,255,291,46.7,-5.5,187,211,47.0,-4.7,9.6,93.9,103.4,36.8,63.2,8:32,8:17,5,7,-2.1,66,56.1
811,Conor Timmins\timmico01,21,COL,D,2,24,18,57.1,12.7,19,12,61.3,17.9,14.3,100.0,114.3,55.6,44.4,10:25,9:32,1,0,0.5,4,25.0
812,Jarred Tinordi\tinorja01,27,NSH,D,28,293,363,44.7,-4.7,230,268,46.2,-4.0,10.6,90.5,101.1,45.4,54.6,16:37,15:08,1,18,-3.3,52,38.5
813,Brady Tkachuk\tkachbr01,20,OTT,LW,71,989,958,50.8,3.4,735,715,50.7,2.9,9.5,88.5,98.0,53.8,46.2,18:55,15:46,35,40,6.0,432,60.2
814,Matthew Tkachuk\tkachma01,22,CGY,LW,69,908,763,54.3,4.9,662,588,53.0,4.1,13.6,85.6,99.2,47.0,53.0,18:18,15:10,40,86,6.6,323,58.2
815,Devon Toews\toewsde01,25,NYI,D,68,932,936,49.9,4.4,677,686,49.7,3.7,10.7,89.6,100.3,53.5,46.5,20:31,17:47,32,57,8.6,259,47.1
816,Jonathan Toews\toewsjo01,31,CHI,C,70,894,877,50.5,2.3,652,669,49.4,1.5,14.9,86.9,101.8,55.5,44.5,19:47,14:26,58,40,-1.7,285,60.4
817,Tyler Toffoli\toffoty01,27,TOT,C,68,903,686,56.8,4.5,665,511,56.5,4.0,9.5,87.5,97.1,55.3,44.7,16:51,13:45,35,34,9.2,351,57.8
818,Dominic Toninato\tonindo01,25,FLA,C,46,342,421,44.8,-5.3,250,305,45.0,-5.0,11.1,92.7,103.8,39.0,61.0,11:09,10:25,17,13,-1.5,65,58.5
819,Yakov Trenin\treniya01,23,NSH,C,21,169,175,49.1,-0.2,118,110,51.8,1.3,11.8,88.9,100.7,40.7,59.3,9:44,9:42,7,3,-0.1,45,55.6
820,Vincent Trocheck\trochvi01,26,TOT,C,62,713,630,53.1,4.1,517,464,52.7,3.5,12.6,84.5,97.1,57.9,42.1,16:44,14:04,51,64,1.9,238,59.2
821,Zach Trotman\trotmza01,29,PIT,D,8,87,77,53.0,-1.3,68,55,55.3,-0.4,7.7,88.6,96.3,63.9,36.1,14:43,13:36,0,6,-1.3,29,37.9
822,Jacob Trouba\troubja01,25,NYR,D,70,1011,1244,44.8,-2.7,750,917,45.0,-3.5,9.2,89.9,99.1,45.2,54.8,22:34,18:16,43,69,-7.3,333,50.5
823,Alexander True\trueal01,22,SJS,F,12,98,70,58.3,7.6,77,52,59.7,8.9,11.8,87.8,99.6,59.1,40.9,10:00,9:29,2,5,1.6,18,66.7
824,Alex Tuch\tuchal01,23,VEG,RW,42,417,369,53.1,-2.7,301,277,52.1,-4.3,8.7,86.9,95.6,60.1,39.9,14:37,12:42,27,27,0.7,170,58.2
825,Kyle Turris\turriky01,30,NSH,C,62,648,640,50.3,-0.1,464,476,49.4,-2.0,9.8,87.3,97.2,56.3,43.7,15:25,12:18,21,29,-5.5,162,54.3
826,Carsen Twarynski\twaryca01,22,PHI,F,15,94,118,44.3,-8.5,68,79,46.3,-6.2,2.0,92.7,94.7,48.6,51.4,10:41,10:23,6,0,-1.1,18,77.8
827,T.J. Tynan\tynant.01,27,COL,C,16,85,94,47.5,-1.2,61,60,50.4,2.0,4.0,92.7,96.7,55.3,44.7,8:28,7:54,5,0,-0.8,13,53.8
828,Urho Vaakanainen\vaakaur01,21,BOS,D,5,39,67,36.8,-11.6,28,53,34.6,-16.9,16.7,97.0,113.6,54.8,45.2,16:51,15:16,1,3,-0.2,9,22.2
829,James van Riemsdyk\vanrija01,30,PHI,LW,66,615,588,51.1,-0.6,456,420,52.1,1.0,11.7,89.7,101.4,51.2,48.8,14:54,12:17,17,16,2.6,236,64.0
830,Trevor van Riemsdyk\vanritr01,28,CAR,D,49,538,445,54.7,1.0,393,347,53.1,0.0,8.4,87.4,95.7,54.0,46.0,14:51,13:29,13,17,0.2,113,51.3
831,Sami Vatanen\vatansa01,28,NJD,D,47,572,616,48.1,0.4,418,452,48.0,-0.6,9.2,87.1,96.2,50.0,50.0,21:45,16:21,14,24,-4.4,200,47.5
832,Frank Vatrano\vatrafr01,25,FLA,LW,69,656,657,50.0,0.4,473,481,49.6,-0.5,9.4,88.2,97.6,59.0,41.0,15:01,12:10,32,18,-0.4,238,68.1
833,Lukas Vejdemo\vejdelu01,24,MTL,C,7,35,26,57.4,5.9,25,20,55.6,7.1,6.3,84.6,90.9,48.0,52.0,8:01,7:53,2,2,0.9,10,70.0
834,Carter Verhaeghe\verhaca01,24,TBL,C,52,384,327,54.0,1.7,283,256,52.5,0.9,9.3,86.7,96.0,51.8,48.2,9:22,9:00,19,11,-0.4,97,58.8
835,Max Veronneau\veronma01,24,OTT,RW,4,23,16,59.0,9.1,18,13,58.1,7.9,0.0,81.8,81.8,50.0,50.0,8:25,7:44,0,1,-0.5,6,50.0
836,Jimmy Vesey\veseyji02,26,BUF,LW,64,576,607,48.7,-1.1,441,462,48.8,-0.3,11.5,92.4,103.9,51.6,48.4,13:48,12:25,26,16,-3.9,163,57.1
837,Gabriel Vilardi\vilarga01,20,LAK,C,10,86,91,48.6,0.9,59,72,45.0,-1.7,15.0,87.2,102.2,57.6,42.4,12:51,11:24,1,0,-0.6,29,65.5
838,Jake Virtanen\virtaja01,23,VAN,RW,69,656,705,48.2,-0.3,505,505,50.0,1.1,8.5,90.6,99.0,52.5,47.5,13:05,12:02,37,31,-4.5,242,62.0
839,Marc-Edouard Vlasic\vlasima01,32,SJS,D,70,877,889,49.7,-0.8,649,631,50.7,1.2,10.7,87.0,97.7,47.8,52.2,20:17,16:38,18,40,-4.5,200,37.0
840,Alexander Volkov\volkoal01,22,TBL,RW,9,60,60,50.0,-4.2,40,49,44.9,-9.9,3.4,80.0,83.4,55.2,44.8,10:16,10:16,4,2,-0.6,13,53.8
841,Jakub Voracek\voracja01,30,PHI,RW,69,771,648,54.3,4.0,572,498,53.5,3.1,12.5,89.9,102.4,54.8,45.2,17:03,13:58,28,30,4.7,251,52.6
842,Mikhail Vorobyev\vorobmi01,23,PHI,C,20,103,133,43.6,-8.6,77,101,43.3,-8.9,14.8,86.1,100.9,51.6,48.4,10:26,9:44,5,4,-4.3,28,53.6
843,Jakub Vrana\vranaja01,23,WSH,LW,69,722,695,51.0,-1.5,551,519,51.5,-0.6,13.1,88.6,101.7,49.4,50.6,14:53,12:49,31,42,2.6,313,59.7
844,Austin Wagner\wagneau01,22,LAK,LW,65,636,511,55.4,2.9,481,385,55.5,3.7,5.4,91.1,96.4,52.5,47.5,11:45,11:36,20,21,5.1,202,61.4
845,Chris Wagner\wagnech01,28,BOS,C,67,451,546,45.2,-6.5,354,402,46.8,-4.7,8.8,88.8,97.6,30.9,69.1,12:26,10:43,16,21,-1.1,139,56.1
846,Oliver Wahlstrom\wahlsol01,19,NYI,RW,9,56,67,45.5,0.2,41,44,48.2,1.4,7.1,90.3,97.5,54.3,45.7,10:17,9:21,1,5,0.4,16,56.3
847,Nathan Walker\walkena01,25,STL,C,5,54,44,55.1,10.1,35,37,48.6,4.0,7.4,86.7,94.1,54.5,45.5,11:08,11:06,0,1,-0.6,10,60.0
848,Sean Walker\walkese01,25,LAK,D,70,1080,891,54.8,2.3,784,672,53.8,1.6,8.3,86.8,95.2,49.4,50.6,18:50,16:48,25,65,-1.1,269,47.2
849,Lucas Wallmark\wallmlu01,24,TOT,C,67,533,526,50.3,-4.1,387,383,50.3,-3.6,9.2,89.4,98.5,46.8,53.2,12:46,10:35,22,17,-0.7,143,58.7
850,Jake Walman\walmaja01,23,STL,D,1,8,8,50.0,9.5,4,6,40.0,-1.9,33.3,100.0,133.3,71.4,28.6,11:04,11:04,0,0,0.3,1,100.0
851,Austin Watson\watsoau01,28,NSH,LW,53,353,486,42.1,-11.3,271,339,44.4,-8.9,11.0,85.6,96.6,30.0,70.0,11:37,10:20,18,20,-7.5,89,56.2
852,Jordan Weal\wealjo01,27,MTL,C,49,504,387,56.6,1.8,362,288,55.7,1.8,6.5,89.5,96.0,48.8,51.3,13:37,11:32,22,12,4.3,137,62.8
853,Shea Weber\webersh01,34,MTL,D,65,1166,950,55.1,0.4,867,697,55.4,1.6,10.6,89.1,99.7,49.6,50.4,24:00,18:28,18,79,9.6,378,48.9
854,Yannick Weber\weberya01,31,NSH,D,41,441,508,46.5,-4.5,328,380,46.3,-5.1,9.0,91.9,101.0,47.9,52.1,14:01,13:40,11,11,-4.2,94,47.9
855,Anton Wedin\wedinan01,26,CHI,F,4,16,21,43.2,-9.0,12,14,46.2,-6.6,14.3,100.0,114.3,9.1,90.9,9:04,8:58,1,0,-0.2,3,66.7
856,MacKenzie Weegar\weegama01,26,FLA,D,45,568,540,51.3,1.4,432,390,52.6,2.5,12.2,87.2,99.4,47.9,52.1,20:07,17:46,25,38,1.6,132,58.3
857,Dale Weise\weiseda01,31,MTL,RW,23,133,153,46.5,-10.1,102,118,46.4,-8.2,7.7,91.9,99.6,47.1,52.9,9:16,8:48,8,12,0.6,22,68.2
858,Alexander Wennberg\wennbal01,25,CBJ,C,57,534,565,48.6,1.1,410,411,49.9,0.6,7.6,89.5,97.2,47.7,52.3,16:41,12:58,20,25,0.9,111,64.9
859,Zach Werenski\werenza01,22,CBJ,D,63,949,956,49.8,2.0,710,691,50.7,0.8,11.2,89.7,100.9,59.0,41.0,23:59,19:04,32,47,2.6,334,56.0
860,Blake Wheeler\wheelbl01,33,WPG,RW,71,882,812,52.1,4.0,660,614,51.8,5.1,11.5,88.6,100.1,57.6,42.4,19:19,15:22,37,46,-0.2,308,58.4
861,Colin White\whiteco02,23,OTT,C,61,638,659,49.2,1.6,465,503,48.0,-0.1,9.1,89.3,98.4,56.7,43.3,15:42,13:19,23,29,0.8,151,55.0
862,Colton White\whiteco03,22,NJD,D,6,36,89,28.8,-13.5,27,64,29.7,-12.8,10.0,91.7,101.7,40.4,59.6,13:59,13:02,2,6,-2.3,4,50.0
863,Zach Whitecloud\whiteza01,23,VEG,D,16,170,109,60.9,3.9,127,75,62.9,5.3,11.5,89.1,100.6,70.1,29.9,14:19,13:17,8,1,4.1,29,31.0
864,Justin Williams\williju01,38,CAR,RW,20,193,150,56.3,3.9,132,116,53.2,1.4,13.4,87.2,100.6,48.7,51.3,13:37,11:07,3,13,0.2,86,69.8
865,Colin Wilson\wilsoco01,30,COL,C,9,88,74,54.3,6.9,63,52,54.8,8.1,14.0,100.0,114.0,27.5,72.5,12:37,10:16,1,3,1.2,20,60.0
866,Scott Wilson\wilsosc01,27,BUF,C/LW,6,42,37,53.2,3.2,32,31,50.8,2.4,12.5,92.3,104.8,33.3,66.7,11:38,11:29,5,0,-0.7,12,66.7
867,Tom Wilson\wilsoto01,25,WSH,RW,68,837,788,51.5,-0.9,598,588,50.4,-2.2,13.4,84.5,97.9,50.6,49.4,18:16,14:18,25,40,3.2,255,60.4
868,Luke Witkowski\witkolu01,29,TBL,D,12,63,104,37.7,-14.0,47,82,36.4,-13.4,8.1,90.0,98.1,51.2,48.8,8:48,8:25,2,2,-3.2,13,76.9
869,Christian Wolanin\wolanch01,24,OTT,D,3,30,30,50.0,-8.2,24,18,57.1,0.0,7.1,88.9,96.0,76.9,23.1,17:30,14:24,0,2,1.2,7,57.1
870,Miles Wood\woodmi01,24,NJD,LW,68,607,776,43.9,-2.5,450,583,43.6,-3.9,8.6,88.8,97.4,40.1,59.9,13:14,12:10,15,22,-5.6,221,63.8
871,Kailer Yamamoto\yamamka01,21,EDM,RW,27,367,357,50.7,4.0,277,268,50.8,4.0,16.0,91.6,107.6,54.4,45.6,17:23,16:23,19,10,1.7,73,60.3
872,Keith Yandle\yandlke01,33,FLA,D,69,855,894,48.9,-1.1,642,686,48.3,-2.2,11.8,89.9,101.7,57.6,42.4,19:42,15:45,25,66,0.9,272,47.4
873,Alexander Yelesin\yelesal01,23,CGY,D,4,35,28,55.6,0.2,28,20,58.3,5.7,10.5,81.3,91.8,52.2,47.8,12:30,10:39,0,2,0.8,7,28.6
874,Danil Yurtaykin\yurtada01,22,SJS,F,4,38,30,55.9,7.3,29,25,53.7,7.4,5.0,88.2,93.2,65.4,34.6,12:54,10:53,2,0,-0.9,8,25.0
875,Pavel Zacha\zachapa01,22,NJD,C,65,564,726,43.7,-2.7,437,534,45.0,-2.0,11.5,87.0,98.5,44.1,55.9,16:16,12:24,35,31,-9.1,154,63.0
876,Filip Zadina\zadinfi01,20,DET,RW,28,239,284,45.7,0.3,180,219,45.1,-0.2,7.7,87.8,95.5,52.8,47.2,15:10,12:38,12,17,-2.0,107,56.1
877,Nikita Zadorov\zadorni01,24,COL,D,64,792,784,50.3,-1.2,568,549,50.9,-0.2,11.0,90.2,101.2,45.6,54.4,17:46,15:36,23,35,-2.6,162,40.1
878,Nikita Zaitsev\zaitsni01,28,OTT,D,58,810,1019,44.3,-6.9,598,757,44.1,-7.5,8.7,90.5,99.2,44.0,56.0,22:09,18:46,20,44,-9.3,165,38.8
879,Travis Zajac\zajactr01,34,NJD,C,69,675,800,45.8,-0.1,509,589,46.4,-0.4,9.6,87.6,97.2,45.0,55.0,17:06,13:26,36,17,-5.8,124,58.9
880,Mika Zibanejad\zibanmi01,26,NYR,C,57,735,732,50.1,4.0,559,548,50.5,3.4,13.5,88.1,101.6,50.0,50.0,21:38,15:17,42,43,-0.8,350,59.4
881,Mats Zuccarello\zuccama01,32,MIN,LW,65,642,704,47.7,-2.7,472,504,48.4,-2.2,12.8,86.6,99.4,54.0,46.0,15:56,13:16,33,17,1.6,164,58.5
882,Jason Zucker\zuckeja01,28,TOT,LW,60,655,665,49.6,-0.2,486,499,49.3,-0.8,13.3,87.3,100.6,53.9,46.1,16:19,13:45,31,25,0.8,173,64.2
883,Valentin Zykov\zykovva01,24,VEG,LW,15,107,130,45.1,-8.7,74,104,41.6,-12.7,9.1,90.8,99.9,54.7,45.3,12:13,10:50,5,12,-1.4,31,61.3
